datetime,ppm,temp,rh,class
2021-08-11 09:37:03,368.36,28.08,70.79,2
2021-08-11 09:37:26,447.23,28.04,70.67,2
2021-08-11 09:37:48,447.23,28.05,70.79,2
2021-08-11 09:38:11,439.93,28.06,70.88,2
2021-08-11 09:38:34,447.23,28.08,70.88,2
2021-08-11 09:38:56,447.23,28.07,70.64,2
2021-08-11 09:39:19,462.25,28.07,70.62,2
2021-08-11 09:40:05,447.23,28.09,70.66,2
2021-08-11 09:40:28,462.25,28.1,70.65,2
2021-08-11 09:40:50,469.99,28.11,70.7,2
2021-08-11 09:41:13,392.66,28.12,70.71,2
2021-08-11 09:41:36,462.25,28.12,70.77,2
2021-08-11 09:42:21,233.24,28.13,70.66,2
2021-08-11 09:42:43,511.09,28.14,70.64,2
2021-08-11 09:43:06,519.82,28.15,70.65,2
2021-08-11 09:43:29,547.11,28.15,70.64,2
2021-08-11 09:43:51,556.58,28.17,70.65,2
2021-08-11 09:44:14,556.58,28.19,70.63,2
2021-08-11 09:44:36,556.58,28.19,70.58,2
2021-08-11 09:44:59,556.58,28.19,70.47,2
2021-08-11 09:45:22,566.25,28.21,70.58,2
2021-08-11 09:45:44,511.09,28.22,70.61,2
2021-08-11 09:46:07,566.25,28.23,70.57,2
2021-08-11 09:46:30,576.13,28.22,70.44,2
2021-08-11 09:46:52,576.13,28.22,70.37,2
2021-08-11 09:47:15,576.13,28.24,70.54,2
2021-08-11 09:47:37,519.82,28.26,70.66,2
2021-08-11 09:48:00,566.25,28.28,70.64,2
2021-08-11 09:48:23,566.25,28.27,70.63,2
2021-08-11 09:48:45,586.21,28.29,70.58,2
2021-08-11 09:49:08,576.13,28.31,70.67,2
2021-08-11 09:49:31,586.21,28.31,70.51,2
2021-08-11 09:49:53,576.13,28.3,70.5,2
2021-08-11 09:50:16,586.21,28.32,70.55,2
2021-08-11 09:50:38,528.73,28.33,70.51,2
2021-08-11 09:51:01,528.73,28.34,70.52,2
2021-08-11 09:51:24,576.13,28.35,70.82,2
2021-08-11 09:51:46,586.21,28.37,70.6,2
2021-08-11 09:52:09,586.21,28.38,70.5,2
2021-08-11 09:52:32,528.73,28.39,70.65,2
2021-08-11 09:52:54,528.73,28.38,70.49,2
2021-08-11 09:53:17,586.21,28.42,70.55,2
2021-08-11 09:53:39,586.21,28.42,70.53,2
2021-08-11 09:54:02,586.21,28.42,70.38,2
2021-08-11 09:54:25,586.21,28.43,70.42,2
2021-08-11 09:54:47,586.21,28.43,70.38,2
2021-08-11 09:55:10,586.21,28.43,70.39,2
2021-08-11 09:55:33,586.21,28.43,70.45,2
2021-08-11 09:55:55,586.21,28.43,70.38,2
2021-08-11 09:56:18,586.21,28.44,70.33,2
2021-08-11 09:56:41,607.03,28.44,70.33,2
2021-08-11 09:57:03,607.03,28.44,70.31,2
2021-08-11 09:57:26,586.21,28.44,70.37,2
2021-08-11 09:57:48,519.82,28.43,70.1,2
2021-08-11 09:58:11,586.21,28.42,70.17,2
2021-08-11 09:58:34,586.21,28.41,70.48,2
2021-08-11 09:58:56,586.21,28.41,70.39,2
2021-08-11 09:59:19,528.73,28.41,70.18,2
2021-08-11 09:59:41,586.21,28.43,70.21,2
2021-08-11 10:00:04,547.11,28.44,70.17,2
2021-08-11 10:00:27,607.03,28.47,69.94,3
2021-08-11 10:00:49,586.21,28.46,69.79,3
2021-08-11 10:01:12,528.73,28.45,69.67,3
2021-08-11 10:01:35,586.21,28.45,69.92,3
2021-08-11 10:01:57,528.73,28.45,69.92,3
2021-08-11 10:02:20,586.21,28.47,69.96,3
2021-08-11 10:02:43,607.03,28.48,69.88,3
2021-08-11 10:03:05,586.21,28.48,69.84,3
2021-08-11 10:03:28,586.21,28.49,69.67,3
2021-08-11 10:03:50,586.21,28.49,69.72,3
2021-08-11 10:04:13,607.03,28.49,69.8,3
2021-08-11 10:04:36,586.21,28.5,69.73,3
2021-08-11 10:04:58,586.21,28.51,69.72,3
2021-08-11 10:05:21,576.13,28.53,69.58,3
2021-08-11 10:05:44,586.21,28.53,69.59,3
2021-08-11 10:06:06,586.21,28.54,69.59,3
2021-08-11 10:06:29,528.73,28.54,69.32,3
2021-08-11 10:06:51,586.21,28.54,69.48,3
2021-08-11 10:07:14,586.21,28.55,69.5,3
2021-08-11 10:07:37,586.21,28.57,69.35,3
2021-08-11 10:07:59,586.21,28.56,69.37,3
2021-08-11 10:08:22,586.21,28.57,69.21,3
2021-08-11 10:08:45,586.21,28.56,69.32,3
2021-08-11 10:09:07,586.21,28.57,69.23,3
2021-08-11 10:09:30,586.21,28.57,69.3,3
2021-08-11 10:09:52,586.21,28.56,69.19,3
2021-08-11 10:10:15,586.21,28.57,69.19,3
2021-08-11 10:10:38,586.21,28.57,69.1,3
2021-08-11 10:11:00,586.21,28.57,68.9,3
2021-08-11 10:11:23,607.03,28.57,68.85,3
2021-08-11 10:11:46,586.21,28.57,68.67,3
2021-08-11 10:12:08,586.21,28.57,68.64,3
2021-08-11 10:12:31,576.13,28.57,68.74,3
2021-08-11 10:12:53,586.21,28.58,68.89,3
2021-08-11 10:13:16,519.82,28.58,68.67,3
2021-08-11 10:13:39,586.21,28.58,68.86,3
2021-08-11 10:14:01,586.21,28.59,68.78,3
2021-08-11 10:14:24,586.21,28.59,68.73,3
2021-08-11 10:14:46,586.21,28.6,68.8,3
2021-08-11 10:15:09,607.03,28.6,68.74,3
2021-08-11 10:15:32,607.03,28.61,68.84,3
2021-08-11 10:15:54,607.03,28.62,68.95,3
2021-08-11 10:16:17,607.03,28.63,68.95,3
2021-08-11 10:16:39,607.03,28.65,68.67,3
2021-08-11 10:17:02,586.21,28.66,68.43,3
2021-08-11 10:17:25,576.13,28.66,68.43,3
2021-08-11 10:17:48,528.73,28.66,68.41,3
2021-08-11 10:18:10,528.73,28.65,68.36,3
2021-08-11 10:18:56,607.03,28.68,68.48,3
2021-08-11 10:19:19,537.83,28.69,68.45,3
2021-08-11 10:19:41,586.21,28.69,68.29,3
2021-08-11 10:20:04,607.03,28.7,68.24,3
2021-08-11 10:20:26,556.58,28.71,68.36,3
2021-08-11 10:20:49,607.03,28.72,68.48,3
2021-08-11 10:21:12,537.83,28.73,68.45,3
2021-08-11 10:21:35,607.03,28.74,68.3,3
2021-08-11 10:21:57,607.03,28.74,68.28,3
2021-08-11 10:22:20,547.11,28.74,68.21,3
2021-08-11 10:22:43,607.03,28.75,68.08,3
2021-08-11 10:23:05,586.21,28.77,68.07,3
2021-08-11 10:23:28,607.03,28.77,68.15,3
2021-08-11 10:23:51,607.03,28.77,68.19,3
2021-08-11 10:24:13,586.21,28.79,68.07,3
2021-08-11 10:24:36,586.21,28.81,68.2,3
2021-08-11 10:24:59,586.21,28.82,68.09,3
2021-08-11 10:25:21,528.73,28.81,67.84,3
2021-08-11 10:25:44,586.21,28.81,68.01,3
2021-08-11 10:26:06,537.83,28.82,68.01,3
2021-08-11 10:26:29,607.03,28.83,68.05,3
2021-08-11 10:26:52,547.11,28.84,68.01,3
2021-08-11 10:27:14,607.03,28.84,67.83,3
2021-08-11 10:27:37,537.83,28.86,67.85,3
2021-08-11 10:28:00,586.21,28.86,67.87,3
2021-08-11 10:28:22,537.83,28.88,67.88,3
2021-08-11 10:28:45,586.21,28.9,67.84,3
2021-08-11 10:29:07,607.03,28.88,67.74,3
2021-08-11 10:29:30,607.03,28.89,67.84,3
2021-08-11 10:29:53,607.03,28.91,67.81,3
2021-08-11 10:30:15,607.03,28.91,67.91,3
2021-08-11 10:30:38,519.82,28.88,67.93,3
2021-08-11 10:31:01,607.03,28.96,67.78,1
2021-08-11 10:31:23,607.03,28.96,67.89,1
2021-08-11 10:31:46,607.03,28.97,67.77,1
2021-08-11 10:32:08,607.03,28.97,67.81,1
2021-08-11 10:32:31,617.77,28.97,67.89,1
2021-08-11 10:32:54,628.74,28.95,68.07,1
2021-08-11 10:33:16,628.74,28.97,68.08,1
2021-08-11 10:33:39,547.11,28.96,67.99,1
2021-08-11 10:34:01,617.77,28.97,68.11,1
2021-08-11 10:34:24,556.58,28.97,68.03,1
2021-08-11 10:34:47,628.74,28.98,68.09,1
2021-08-11 10:35:09,639.94,29.01,68.09,1
2021-08-11 10:35:32,628.74,29.02,68.0,1
2021-08-11 10:35:55,556.58,29.0,68.39,1
2021-08-11 10:36:17,607.03,29.02,68.2,1
2021-08-11 10:36:40,651.39,29.03,68.13,1
2021-08-11 10:37:16,617.77,29.03,68.29,1
2021-08-11 10:37:38,675.04,29.03,68.23,1
2021-08-11 10:38:01,795.26,29.01,68.18,1
2021-08-11 10:38:24,795.26,29.03,68.13,1
2021-08-11 10:38:46,699.74,29.03,68.15,1
2021-08-11 10:39:09,795.26,29.04,68.05,1
2021-08-11 10:39:32,687.25,29.07,67.71,1
2021-08-11 10:39:54,810.17,29.04,67.79,1
2021-08-11 10:40:17,699.74,29.03,67.84,1
2021-08-11 10:40:40,687.25,29.03,67.73,1
2021-09-11 07:00:06,406.14,27.24,67.25,1
2021-09-11 07:00:29,406.14,27.25,67.26,1
2021-09-11 07:00:51,411.74,27.26,67.28,1
